Sample in Buffer,Sample in Window,TRIGGER,cpu/if_pc/ex_alu/data1[31:0],cpu/register_file/_register_reg[31]_31[31:0]
513,513,0,ffffff01,bfc00aa8
514,514,0,ffff4051,bfc00aa8
515,515,0,bfae0010,bfc00aa8
516,516,0,bfaffff0,bfc00aa8
517,517,0,00000000,bfc00aa8
518,518,0,00000000,bfc00aa8
519,519,0,d1b00f7d,bfc00aa8
520,520,0,ffffff01,bfc00aa8
521,521,0,ffff4051,bfc00aa8
522,522,0,bfae0010,bfc00aa8
523,523,0,bfaffff0,bfc00aa8
524,524,0,00000000,bfc00aa8
525,525,0,00000000,bfc00aa8
526,526,0,d1b00f7e,bfc00aa8
527,527,0,ffffff01,bfc00aa8
528,528,0,ffff4051,bfc00aa8
529,529,0,bfae0010,bfc00aa8
530,530,0,bfaffff0,bfc00aa8
531,531,0,00000000,bfc00aa8
532,532,0,00000000,bfc00aa8
533,533,0,d1b00f7f,bfc00aa8
534,534,0,ffffff01,bfc00aa8
535,535,0,ffff4051,bfc00aa8
536,536,0,bfae0010,bfc00aa8
537,537,0,bfaffff0,bfc00aa8
538,538,0,00000000,bfc00aa8
539,539,0,00000000,bfc00aa8
540,540,0,d1b00f80,bfc00aa8
541,541,0,ffffff01,bfc00aa8
542,542,0,ffff4051,bfc00aa8
543,543,0,bfae0010,bfc00aa8
544,544,0,bfaffff0,bfc00aa8
545,545,0,00000000,bfc00aa8
546,546,0,00000000,bfc00aa8
547,547,0,d1b00f81,bfc00aa8
548,548,0,ffffff01,bfc00aa8
549,549,0,ffff4051,bfc00aa8
550,550,0,bfae0010,bfc00aa8
551,551,0,bfaffff0,bfc00aa8
552,552,0,00000000,bfc00aa8
553,553,0,00000000,bfc00aa8
554,554,0,d1b00f82,bfc00aa8
555,555,0,ffffff01,bfc00aa8
556,556,0,ffff4051,bfc00aa8
557,557,0,bfae0010,bfc00aa8
558,558,0,bfaffff0,bfc00aa8
559,559,0,00000000,bfc00aa8
560,560,0,00000000,bfc00aa8
561,561,0,d1b00f83,bfc00aa8
562,562,0,ffffff01,bfc00aa8
563,563,0,ffff4051,bfc00aa8
564,564,0,bfae0010,bfc00aa8
565,565,0,bfaffff0,bfc00aa8
566,566,0,00000000,bfc00aa8
567,567,0,00000000,bfc00aa8
568,568,0,d1b00f84,bfc00aa8
569,569,0,ffffff01,bfc00aa8
570,570,0,ffff4051,bfc00aa8
571,571,0,bfae0010,bfc00aa8
572,572,0,bfaffff0,bfc00aa8
573,573,0,00000000,bfc00aa8
574,574,0,00000000,bfc00aa8
575,575,0,d1b00f85,bfc00aa8
576,576,0,ffffff01,bfc00aa8
577,577,0,ffff4051,bfc00aa8
578,578,0,bfae0010,bfc00aa8
579,579,0,bfaffff0,bfc00aa8
580,580,0,00000000,bfc00aa8
581,581,0,00000000,bfc00aa8
582,582,0,d1b00f86,bfc00aa8
583,583,0,ffffff01,bfc00aa8
584,584,0,ffff4051,bfc00aa8
585,585,0,bfae0010,bfc00aa8
586,586,0,bfaffff0,bfc00aa8
587,587,0,00000000,bfc00aa8
588,588,0,00000000,bfc00aa8
589,589,0,d1b00f87,bfc00aa8
590,590,0,ffffff01,bfc00aa8
591,591,0,ffff4051,bfc00aa8
592,592,0,bfae0010,bfc00aa8
593,593,0,bfaffff0,bfc00aa8
594,594,0,00000000,bfc00aa8
595,595,0,00000000,bfc00aa8
596,596,0,d1b00f88,bfc00aa8
597,597,0,ffffff01,bfc00aa8
598,598,0,ffff4051,bfc00aa8
599,599,0,bfae0010,bfc00aa8
600,600,0,bfaffff0,bfc00aa8
601,601,0,00000000,bfc00aa8
602,602,0,00000000,bfc00aa8
603,603,0,d1b00f89,bfc00aa8
604,604,0,ffffff01,bfc00aa8
605,605,0,ffff4051,bfc00aa8
606,606,0,bfae0010,bfc00aa8
607,607,0,bfaffff0,bfc00aa8
608,608,0,00000000,bfc00aa8
609,609,0,00000000,bfc00aa8
610,610,0,d1b00f8a,bfc00aa8
611,611,0,ffffff01,bfc00aa8
612,612,0,ffff4051,bfc00aa8
613,613,0,bfae0010,bfc00aa8
614,614,0,bfaffff0,bfc00aa8
615,615,0,00000000,bfc00aa8
616,616,0,00000000,bfc00aa8
617,617,0,d1b00f8b,bfc00aa8
618,618,0,ffffff01,bfc00aa8
619,619,0,ffff4051,bfc00aa8
620,620,0,bfae0010,bfc00aa8
621,621,0,bfaffff0,bfc00aa8
622,622,0,00000000,bfc00aa8
623,623,0,00000000,bfc00aa8
624,624,0,d1b00f8c,bfc00aa8
625,625,0,ffffff01,bfc00aa8
626,626,0,ffff4051,bfc00aa8
627,627,0,bfae0010,bfc00aa8
628,628,0,bfaffff0,bfc00aa8
629,629,0,00000000,bfc00aa8
630,630,0,00000000,bfc00aa8
631,631,0,d1b00f8d,bfc00aa8
632,632,0,ffffff01,bfc00aa8
633,633,0,ffff4051,bfc00aa8
634,634,0,bfae0010,bfc00aa8
635,635,0,bfaffff0,bfc00aa8
636,636,0,00000000,bfc00aa8
637,637,0,00000000,bfc00aa8
638,638,0,d1b00f8e,bfc00aa8
639,639,0,ffffff01,bfc00aa8
640,640,0,ffff4051,bfc00aa8
641,641,0,bfae0010,bfc00aa8
642,642,0,bfaffff0,bfc00aa8
643,643,0,00000000,bfc00aa8
644,644,0,00000000,bfc00aa8
645,645,0,d1b00f8f,bfc00aa8
646,646,0,ffffff01,bfc00aa8
647,647,0,ffff4051,bfc00aa8
648,648,0,bfae0010,bfc00aa8
649,649,0,bfaffff0,bfc00aa8
650,650,0,00000000,bfc00aa8
651,651,0,00000000,bfc00aa8
652,652,0,d1b00f90,bfc00aa8
653,653,0,ffffff01,bfc00aa8
654,654,0,ffff4051,bfc00aa8
655,655,0,bfae0010,bfc00aa8
656,656,0,bfaffff0,bfc00aa8
657,657,0,00000000,bfc00aa8
658,658,0,00000000,bfc00aa8
659,659,0,d1b00f91,bfc00aa8
660,660,0,ffffff01,bfc00aa8
661,661,0,ffff4051,bfc00aa8
662,662,0,bfae0010,bfc00aa8
663,663,0,bfaffff0,bfc00aa8
664,664,0,00000000,bfc00aa8
665,665,0,00000000,bfc00aa8
666,666,0,d1b00f92,bfc00aa8
667,667,0,ffffff01,bfc00aa8
668,668,0,ffff4051,bfc00aa8
669,669,0,bfae0010,bfc00aa8
670,670,0,bfaffff0,bfc00aa8
671,671,0,00000000,bfc00aa8
672,672,0,00000000,bfc00aa8
673,673,0,d1b00f93,bfc00aa8
674,674,0,ffffff01,bfc00aa8
675,675,0,ffff4051,bfc00aa8
676,676,0,bfae0010,bfc00aa8
677,677,0,bfaffff0,bfc00aa8
678,678,0,00000000,bfc00aa8
679,679,0,00000000,bfc00aa8
680,680,0,d1b00f94,bfc00aa8
681,681,0,ffffff01,bfc00aa8
682,682,0,ffff4051,bfc00aa8
683,683,0,bfae0010,bfc00aa8
684,684,0,bfaffff0,bfc00aa8
685,685,0,00000000,bfc00aa8
686,686,0,00000000,bfc00aa8
687,687,0,d1b00f95,bfc00aa8
688,688,0,ffffff01,bfc00aa8
689,689,0,ffff4051,bfc00aa8
690,690,0,bfae0010,bfc00aa8
691,691,0,bfaffff0,bfc00aa8
692,692,0,00000000,bfc00aa8
693,693,0,00000000,bfc00aa8
694,694,0,d1b00f96,bfc00aa8
695,695,0,ffffff01,bfc00aa8
696,696,0,ffff4051,bfc00aa8
697,697,0,bfae0010,bfc00aa8
698,698,0,bfaffff0,bfc00aa8
699,699,0,00000000,bfc00aa8
700,700,0,00000000,bfc00aa8
701,701,0,d1b00f97,bfc00aa8
702,702,0,ffffff01,bfc00aa8
703,703,0,ffff4051,bfc00aa8
704,704,0,bfae0010,bfc00aa8
705,705,0,bfaffff0,bfc00aa8
706,706,0,00000000,bfc00aa8
707,707,0,00000000,bfc00aa8
708,708,0,d1b00f98,bfc00aa8
709,709,0,ffffff01,bfc00aa8
710,710,0,ffff4051,bfc00aa8
711,711,0,bfae0010,bfc00aa8
712,712,0,bfaffff0,bfc00aa8
713,713,0,00000000,bfc00aa8
714,714,0,00000000,bfc00aa8
715,715,0,d1b00f99,bfc00aa8
716,716,0,ffffff01,bfc00aa8
717,717,0,ffff4051,bfc00aa8
718,718,0,bfae0010,bfc00aa8
719,719,0,bfaffff0,bfc00aa8
720,720,0,00000000,bfc00aa8
721,721,0,00000000,bfc00aa8
722,722,0,d1b00f9a,bfc00aa8
723,723,0,ffffff01,bfc00aa8
724,724,0,ffff4051,bfc00aa8
725,725,0,bfae0010,bfc00aa8
726,726,0,bfaffff0,bfc00aa8
727,727,0,00000000,bfc00aa8
728,728,0,00000000,bfc00aa8
729,729,0,d1b00f9b,bfc00aa8
730,730,0,ffffff01,bfc00aa8
731,731,0,ffff4051,bfc00aa8
732,732,0,bfae0010,bfc00aa8
733,733,0,bfaffff0,bfc00aa8
734,734,0,00000000,bfc00aa8
735,735,0,00000000,bfc00aa8
736,736,0,d1b00f9c,bfc00aa8
737,737,0,ffffff01,bfc00aa8
738,738,0,ffff4051,bfc00aa8
739,739,0,bfae0010,bfc00aa8
740,740,0,bfaffff0,bfc00aa8
741,741,0,00000000,bfc00aa8
742,742,0,00000000,bfc00aa8
743,743,0,d1b00f9d,bfc00aa8
744,744,0,ffffff01,bfc00aa8
745,745,0,ffff4051,bfc00aa8
746,746,0,bfae0010,bfc00aa8
747,747,0,bfaffff0,bfc00aa8
748,748,0,00000000,bfc00aa8
749,749,0,00000000,bfc00aa8
750,750,0,d1b00f9e,bfc00aa8
751,751,0,ffffff01,bfc00aa8
752,752,0,ffff4051,bfc00aa8
753,753,0,bfae0010,bfc00aa8
754,754,0,bfaffff0,bfc00aa8
755,755,0,00000000,bfc00aa8
756,756,0,00000000,bfc00aa8
757,757,0,d1b00f9f,bfc00aa8
758,758,0,ffffff01,bfc00aa8
759,759,0,ffff4051,bfc00aa8
760,760,0,bfae0010,bfc00aa8
761,761,0,bfaffff0,bfc00aa8
762,762,0,00000000,bfc00aa8
763,763,0,00000000,bfc00aa8
764,764,0,d1b00fa0,bfc00aa8
765,765,0,ffffff01,bfc00aa8
766,766,0,ffff4051,bfc00aa8
767,767,0,bfae0010,bfc00aa8
768,768,0,bfaffff0,bfc00aa8
769,769,0,00000000,bfc00aa8
770,770,0,00000000,bfc00aa8
771,771,0,d1b00fa1,bfc00aa8
772,772,0,ffffff01,bfc00aa8
773,773,0,ffff4051,bfc00aa8
774,774,0,bfae0010,bfc00aa8
775,775,0,bfaffff0,bfc00aa8
776,776,0,00000000,bfc00aa8
777,777,0,00000000,bfc00aa8
778,778,0,d1b00fa2,bfc00aa8
779,779,0,ffffff01,bfc00aa8
780,780,0,ffff4051,bfc00aa8
781,781,0,bfae0010,bfc00aa8
782,782,0,bfaffff0,bfc00aa8
783,783,0,00000000,bfc00aa8
784,784,0,00000000,bfc00aa8
785,785,0,d1b00fa3,bfc00aa8
786,786,0,ffffff01,bfc00aa8
787,787,0,ffff4051,bfc00aa8
788,788,0,bfae0010,bfc00aa8
789,789,0,bfaffff0,bfc00aa8
790,790,0,00000000,bfc00aa8
791,791,0,00000000,bfc00aa8
792,792,0,d1b00fa4,bfc00aa8
793,793,0,ffffff01,bfc00aa8
794,794,0,ffff4051,bfc00aa8
795,795,0,bfae0010,bfc00aa8
796,796,0,bfaffff0,bfc00aa8
797,797,0,00000000,bfc00aa8
798,798,0,00000000,bfc00aa8
799,799,0,d1b00fa5,bfc00aa8
800,800,0,ffffff01,bfc00aa8
801,801,0,ffff4051,bfc00aa8
802,802,0,bfae0010,bfc00aa8
803,803,0,bfaffff0,bfc00aa8
804,804,0,00000000,bfc00aa8
805,805,0,00000000,bfc00aa8
806,806,0,d1b00fa6,bfc00aa8
807,807,0,ffffff01,bfc00aa8
808,808,0,ffff4051,bfc00aa8
809,809,0,bfae0010,bfc00aa8
810,810,0,bfaffff0,bfc00aa8
811,811,0,00000000,bfc00aa8
812,812,0,00000000,bfc00aa8
813,813,0,d1b00fa7,bfc00aa8
814,814,0,ffffff01,bfc00aa8
815,815,0,ffff4051,bfc00aa8
816,816,0,bfae0010,bfc00aa8
817,817,0,bfaffff0,bfc00aa8
818,818,0,00000000,bfc00aa8
819,819,0,00000000,bfc00aa8
820,820,0,d1b00fa8,bfc00aa8
821,821,0,ffffff01,bfc00aa8
822,822,0,ffff4051,bfc00aa8
823,823,0,bfae0010,bfc00aa8
824,824,0,bfaffff0,bfc00aa8
825,825,0,00000000,bfc00aa8
826,826,0,00000000,bfc00aa8
827,827,0,d1b00fa9,bfc00aa8
828,828,0,ffffff01,bfc00aa8
829,829,0,ffff4051,bfc00aa8
830,830,0,bfae0010,bfc00aa8
831,831,0,bfaffff0,bfc00aa8
832,832,0,00000000,bfc00aa8
833,833,0,00000000,bfc00aa8
834,834,0,d1b00faa,bfc00aa8
835,835,0,ffffff01,bfc00aa8
836,836,0,ffff4051,bfc00aa8
837,837,0,bfae0010,bfc00aa8
838,838,0,bfaffff0,bfc00aa8
839,839,0,00000000,bfc00aa8
840,840,0,00000000,bfc00aa8
841,841,0,d1b00fab,bfc00aa8
842,842,0,ffffff01,bfc00aa8
843,843,0,ffff4051,bfc00aa8
844,844,0,bfae0010,bfc00aa8
845,845,0,bfaffff0,bfc00aa8
846,846,0,00000000,bfc00aa8
847,847,0,00000000,bfc00aa8
848,848,0,d1b00fac,bfc00aa8
849,849,0,ffffff01,bfc00aa8
850,850,0,ffff4051,bfc00aa8
851,851,0,bfae0010,bfc00aa8
852,852,0,bfaffff0,bfc00aa8
853,853,0,00000000,bfc00aa8
854,854,0,00000000,bfc00aa8
855,855,0,d1b00fad,bfc00aa8
856,856,0,ffffff01,bfc00aa8
857,857,0,ffff4051,bfc00aa8
858,858,0,bfae0010,bfc00aa8
859,859,0,bfaffff0,bfc00aa8
860,860,0,00000000,bfc00aa8
861,861,0,00000000,bfc00aa8
862,862,0,d1b00fae,bfc00aa8
863,863,0,ffffff01,bfc00aa8
864,864,0,ffff4051,bfc00aa8
865,865,0,bfae0010,bfc00aa8
866,866,0,bfaffff0,bfc00aa8
867,867,0,00000000,bfc00aa8
868,868,0,00000000,bfc00aa8
869,869,0,d1b00faf,bfc00aa8
870,870,0,ffffff01,bfc00aa8
871,871,0,ffff4051,bfc00aa8
872,872,0,bfae0010,bfc00aa8
873,873,0,bfaffff0,bfc00aa8
874,874,0,00000000,bfc00aa8
875,875,0,00000000,bfc00aa8
876,876,0,d1b00fb0,bfc00aa8
877,877,0,ffffff01,bfc00aa8
878,878,0,ffff4051,bfc00aa8
879,879,0,bfae0010,bfc00aa8
880,880,0,bfaffff0,bfc00aa8
881,881,0,00000000,bfc00aa8
882,882,0,00000000,bfc00aa8
883,883,0,d1b00fb1,bfc00aa8
884,884,0,ffffff01,bfc00aa8
885,885,0,ffff4051,bfc00aa8
886,886,0,bfae0010,bfc00aa8
887,887,0,bfaffff0,bfc00aa8
888,888,0,00000000,bfc00aa8
889,889,0,00000000,bfc00aa8
890,890,0,d1b00fb2,bfc00aa8
891,891,0,ffffff01,bfc00aa8
892,892,0,ffff4051,bfc00aa8
893,893,0,bfae0010,bfc00aa8
894,894,0,bfaffff0,bfc00aa8
895,895,0,00000000,bfc00aa8
896,896,0,00000000,bfc00aa8
897,897,0,d1b00fb3,bfc00aa8
898,898,0,ffffff01,bfc00aa8
899,899,0,ffff4051,bfc00aa8
900,900,0,bfae0010,bfc00aa8
901,901,0,bfaffff0,bfc00aa8
902,902,0,00000000,bfc00aa8
903,903,0,00000000,bfc00aa8
904,904,0,d1b00fb4,bfc00aa8
905,905,0,ffffff01,bfc00aa8
906,906,0,ffff4051,bfc00aa8
907,907,0,bfae0010,bfc00aa8
908,908,0,bfaffff0,bfc00aa8
909,909,0,00000000,bfc00aa8
910,910,0,00000000,bfc00aa8
911,911,0,d1b00fb5,bfc00aa8
912,912,0,ffffff01,bfc00aa8
913,913,0,ffff4051,bfc00aa8
914,914,0,bfae0010,bfc00aa8
915,915,0,bfaffff0,bfc00aa8
916,916,0,00000000,bfc00aa8
917,917,0,00000000,bfc00aa8
918,918,0,d1b00fb6,bfc00aa8
919,919,0,ffffff01,bfc00aa8
920,920,0,ffff4051,bfc00aa8
921,921,0,bfae0010,bfc00aa8
922,922,0,bfaffff0,bfc00aa8
923,923,0,00000000,bfc00aa8
924,924,0,00000000,bfc00aa8
925,925,0,d1b00fb7,bfc00aa8
926,926,0,ffffff01,bfc00aa8
927,927,0,ffff4051,bfc00aa8
928,928,0,bfae0010,bfc00aa8
929,929,0,bfaffff0,bfc00aa8
930,930,0,00000000,bfc00aa8
931,931,0,00000000,bfc00aa8
932,932,0,d1b00fb8,bfc00aa8
933,933,0,ffffff01,bfc00aa8
934,934,0,ffff4051,bfc00aa8
935,935,0,bfae0010,bfc00aa8
936,936,0,bfaffff0,bfc00aa8
937,937,0,00000000,bfc00aa8
938,938,0,00000000,bfc00aa8
939,939,0,d1b00fb9,bfc00aa8
940,940,0,ffffff01,bfc00aa8
941,941,0,ffff4051,bfc00aa8
942,942,0,bfae0010,bfc00aa8
943,943,0,bfaffff0,bfc00aa8
944,944,0,00000000,bfc00aa8
945,945,0,00000000,bfc00aa8
946,946,0,d1b00fba,bfc00aa8
947,947,0,ffffff01,bfc00aa8
948,948,0,ffff4051,bfc00aa8
949,949,0,bfae0010,bfc00aa8
950,950,0,bfaffff0,bfc00aa8
951,951,0,00000000,bfc00aa8
952,952,0,00000000,bfc00aa8
953,953,0,d1b00fbb,bfc00aa8
954,954,0,ffffff01,bfc00aa8
955,955,0,ffff4051,bfc00aa8
956,956,0,bfae0010,bfc00aa8
957,957,0,bfaffff0,bfc00aa8
958,958,0,00000000,bfc00aa8
959,959,0,00000000,bfc00aa8
960,960,0,d1b00fbc,bfc00aa8
961,961,0,ffffff01,bfc00aa8
962,962,0,ffff4051,bfc00aa8
963,963,0,bfae0010,bfc00aa8
964,964,0,bfaffff0,bfc00aa8
965,965,0,00000000,bfc00aa8
966,966,0,00000000,bfc00aa8
967,967,0,d1b00fbd,bfc00aa8
968,968,0,ffffff01,bfc00aa8
969,969,0,ffff4051,bfc00aa8
970,970,0,bfae0010,bfc00aa8
971,971,0,bfaffff0,bfc00aa8
972,972,0,00000000,bfc00aa8
973,973,0,00000000,bfc00aa8
974,974,0,d1b00fbe,bfc00aa8
975,975,0,ffffff01,bfc00aa8
976,976,0,ffff4051,bfc00aa8
977,977,0,bfae0010,bfc00aa8
978,978,0,bfaffff0,bfc00aa8
979,979,0,00000000,bfc00aa8
980,980,0,00000000,bfc00aa8
981,981,0,d1b00fbf,bfc00aa8
982,982,0,ffffff01,bfc00aa8
983,983,0,ffff4051,bfc00aa8
984,984,0,bfae0010,bfc00aa8
985,985,0,bfaffff0,bfc00aa8
986,986,0,00000000,bfc00aa8
987,987,0,00000000,bfc00aa8
988,988,0,d1b00fc0,bfc00aa8
989,989,0,ffffff01,bfc00aa8
990,990,0,ffff4051,bfc00aa8
991,991,0,bfae0010,bfc00aa8
992,992,0,bfaffff0,bfc00aa8
993,993,0,00000000,bfc00aa8
994,994,0,00000000,bfc00aa8
995,995,0,d1b00fc1,bfc00aa8
996,996,0,ffffff01,bfc00aa8
997,997,0,ffff4051,bfc00aa8
998,998,0,bfae0010,bfc00aa8
999,999,0,bfaffff0,bfc00aa8
1000,1000,0,00000000,bfc00aa8
1001,1001,0,00000000,bfc00aa8
1002,1002,0,d1b00fc2,bfc00aa8
1003,1003,0,ffffff01,bfc00aa8
1004,1004,0,ffff4051,bfc00aa8
1005,1005,0,bfae0010,bfc00aa8
1006,1006,0,bfaffff0,bfc00aa8
1007,1007,0,00000000,bfc00aa8
1008,1008,0,00000000,bfc00aa8
1009,1009,0,d1b00fc3,bfc00aa8
1010,1010,0,ffffff01,bfc00aa8
1011,1011,0,ffff4051,bfc00aa8
1012,1012,0,bfae0010,bfc00aa8
1013,1013,0,bfaffff0,bfc00aa8
1014,1014,0,00000000,bfc00aa8
1015,1015,0,00000000,bfc00aa8
1016,1016,0,d1b00fc4,bfc00aa8
1017,1017,0,ffffff01,bfc00aa8
1018,1018,0,ffff4051,bfc00aa8
1019,1019,0,bfae0010,bfc00aa8
1020,1020,0,bfaffff0,bfc00aa8
1021,1021,0,00000000,bfc00aa8
1022,1022,0,00000000,bfc00aa8
1023,1023,0,d1b00fc5,bfc00aa8
